query,intent
Покажи каталог,SHOW_CATALOG
Открой каталог очков,SHOW_CATALOG
Хочу унисекс квадратные до 2002 рублей,SEARCH_PRODUCT
Найди серебристые очки SOJOS,SEARCH_PRODUCT
Есть доставка?,ASK_DELIVERY
Сколько идет доставка?,ASK_DELIVERY
Как оплатить заказ?,ASK_PAYMENT
Можно оплатить картой?,ASK_PAYMENT
Можно вернуть товар?,ASK_RETURN
Хочу оформить заказ,CREATE_ORDER
Привет,GREETING
Покажи каталог,SHOW_CATALOG
Открой каталог очков,SHOW_CATALOG
Хочу женские прямоугольные до 2013 рублей,SEARCH_PRODUCT
Найди синие очки Guess,SEARCH_PRODUCT
Есть доставка?,ASK_DELIVERY
Сколько идет доставка?,ASK_DELIVERY
Как оплатить заказ?,ASK_PAYMENT
Можно оплатить картой?,ASK_PAYMENT
Можно вернуть товар?,ASK_RETURN
Хочу оформить заказ,CREATE_ORDER
Привет,GREETING
Покажи каталог,SHOW_CATALOG
Открой каталог очков,SHOW_CATALOG
Хочу мужские кошачий глаз до 2024 рублей,SEARCH_PRODUCT
Найди черные очки Oakley,SEARCH_PRODUCT
Есть доставка?,ASK_DELIVERY
Сколько идет доставка?,ASK_DELIVERY
Как оплатить заказ?,ASK_PAYMENT
Можно оплатить картой?,ASK_PAYMENT
Можно вернуть товар?,ASK_RETURN
Хочу оформить заказ,CREATE_ORDER
Привет,GREETING
Покажи каталог,SHOW_CATALOG
Открой каталог очков,SHOW_CATALOG
Хочу унисекс авиаторы до 2035 рублей,SEARCH_PRODUCT
Найди коричневые очки Vogue,SEARCH_PRODUCT
Есть доставка?,ASK_DELIVERY
Сколько идет доставка?,ASK_DELIVERY
Как оплатить заказ?,ASK_PAYMENT
Можно оплатить картой?,ASK_PAYMENT
Можно вернуть товар?,ASK_RETURN
Хочу оформить заказ,CREATE_ORDER
Привет,GREETING
Покажи каталог,SHOW_CATALOG
Открой каталог очков,SHOW_CATALOG
Хочу женские круглые до 2046 рублей,SEARCH_PRODUCT
Найди золотые очки Prada,SEARCH_PRODUCT
